epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43209,1.83631,5.03936,1.40606,0.01035,0.0869,0.02072,0.01584,1.4036,4.82526,1.21309,2.085e-05,2.085e-05,2.085e-05
2,5.02281,1.82457,4.78861,1.36961,0.01781,0.12709,0.0249,0.0169,1.39623,4.63171,1.17319,4.55673e-05,4.55673e-05,4.55673e-05
3,9.79878,1.71852,4.04791,1.2346,0.19949,0.13891,0.04892,0.0272,1.36878,3.97375,1.14151,6.99543e-05,6.99543e-05,6.99543e-05
4,14.0071,1.64576,3.34892,1.30023,0.2139,0.21084,0.08787,0.05313,1.38945,2.97893,1.1605,9.4011e-05,9.4011e-05,9.4011e-05
5,18.2019,1.48061,2.76575,1.21074,0.34873,0.19067,0.12853,0.07415,1.35806,2.76831,1.11819,0.000117737,0.000117737,0.000117737
6,22.2114,1.44834,2.34842,1.08535,0.37916,0.15623,0.14503,0.07927,1.35482,2.72033,1.12468,0.000141134,0.000141134,0.000141134
7,25.6883,1.41272,2.14904,1.09825,0.38553,0.29901,0.21406,0.12438,1.37427,2.87373,1.144,0.0001642,0.0001642,0.0001642
8,28.1173,1.42586,2.31235,1.21418,0.38553,0.29901,0.21406,0.12438,1.37427,2.87373,1.144,0.000186935,0.000186935,0.000186935
9,30.5559,1.38133,2.29445,1.20111,0.31605,0.42188,0.28845,0.17165,1.37506,2.44652,1.1584,0.000209341,0.000209341,0.000209341
10,32.9747,1.33938,2.23646,1.12944,0.28558,0.54405,0.3644,0.21602,1.3474,3.15784,1.14529,0.000231416,0.000231416,0.000231416
11,35.3642,1.30691,1.89362,1.13805,0.28558,0.54405,0.3644,0.21602,1.3474,3.15784,1.14529,0.000253161,0.000253161,0.000253161
12,37.8177,1.32774,2.03163,1.08878,0.23186,0.55853,0.43516,0.26246,1.32628,3.99436,1.15211,0.000274575,0.000274575,0.000274575
13,40.233,1.24943,1.8751,1.09226,0.23186,0.55853,0.43516,0.26246,1.32628,3.99436,1.15211,0.00029566,0.00029566,0.00029566
14,42.6212,1.33782,1.86782,1.08452,0.23186,0.55853,0.43516,0.26246,1.32628,3.99436,1.15211,0.000316414,0.000316414,0.000316414
15,45.0398,1.20371,1.91819,1.09127,0.43419,0.39353,0.42414,0.2539,1.35409,2.61457,1.18168,0.000336838,0.000336838,0.000336838
16,47.3705,1.256,2.01004,1.05423,0.43419,0.39353,0.42414,0.2539,1.35409,2.61457,1.18168,0.000356931,0.000356931,0.000356931
17,49.6511,1.21695,1.90193,1.05791,0.58065,0.29955,0.40224,0.23339,1.36667,2.23115,1.19573,0.000372965,0.000372965,0.000372965
18,51.9179,1.26232,1.6769,1.06414,0.58065,0.29955,0.40224,0.23339,1.36667,2.23115,1.19573,0.000370213,0.000370213,0.000370213
19,54.2032,1.26745,1.70695,1.10308,0.58065,0.29955,0.40224,0.23339,1.36667,2.23115,1.19573,0.00036746,0.00036746,0.00036746
20,56.4879,1.23966,1.65161,1.06278,0.42145,0.36901,0.38175,0.24248,1.29932,2.67511,1.15701,0.000364708,0.000364708,0.000364708
21,58.7396,1.23068,1.5979,1.09716,0.42145,0.36901,0.38175,0.24248,1.29932,2.67511,1.15701,0.000361956,0.000361956,0.000361956
22,61.0068,1.20636,1.57698,1.04564,0.42145,0.36901,0.38175,0.24248,1.29932,2.67511,1.15701,0.000359204,0.000359204,0.000359204
23,63.253,1.15912,1.55226,1.08368,0.21137,0.58115,0.40376,0.25118,1.30787,1.93366,1.16827,0.000356452,0.000356452,0.000356452
24,65.4814,1.25103,1.58306,1.09446,0.21137,0.58115,0.40376,0.25118,1.30787,1.93366,1.16827,0.000353699,0.000353699,0.000353699
25,67.7372,1.12785,1.43161,1.07563,0.41298,0.52895,0.44617,0.26636,1.33995,1.6523,1.21098,0.000350947,0.000350947,0.000350947
26,70.1029,1.19431,1.52063,1.09229,0.41298,0.52895,0.44617,0.26636,1.33995,1.6523,1.21098,0.000348195,0.000348195,0.000348195
27,72.4934,1.15884,1.41199,1.04351,0.41298,0.52895,0.44617,0.26636,1.33995,1.6523,1.21098,0.000345443,0.000345443,0.000345443
28,74.9344,1.17447,1.31016,1.05999,0.41581,0.57166,0.5369,0.3165,1.35165,1.60408,1.23574,0.000342691,0.000342691,0.000342691
29,77.3146,1.15344,1.26586,1.00695,0.41581,0.57166,0.5369,0.3165,1.35165,1.60408,1.23574,0.000339938,0.000339938,0.000339938
30,79.6778,1.14329,1.42531,1.08905,0.41581,0.57166,0.5369,0.3165,1.35165,1.60408,1.23574,0.000337186,0.000337186,0.000337186
31,82.0494,1.12452,1.28784,1.04774,0.66401,0.49217,0.59706,0.36168,1.35897,1.47543,1.228,0.000334434,0.000334434,0.000334434
32,84.4409,1.15625,1.24858,1.06803,0.66401,0.49217,0.59706,0.36168,1.35897,1.47543,1.228,0.000331682,0.000331682,0.000331682
33,87.4503,1.16945,1.35788,1.08844,0.59676,0.53084,0.58135,0.33467,1.34499,1.52635,1.20797,0.00032893,0.00032893,0.00032893
34,89.6811,1.16944,1.26147,1.08751,0.59676,0.53084,0.58135,0.33467,1.34499,1.52635,1.20797,0.000326177,0.000326177,0.000326177
35,91.9343,1.16076,1.18965,1.03739,0.59676,0.53084,0.58135,0.33467,1.34499,1.52635,1.20797,0.000323425,0.000323425,0.000323425
36,94.2207,1.13874,1.24038,1.10661,0.41805,0.59152,0.59532,0.33823,1.38017,1.40118,1.25787,0.000320673,0.000320673,0.000320673
37,96.5158,1.08701,1.11501,1.01535,0.41805,0.59152,0.59532,0.33823,1.38017,1.40118,1.25787,0.000317921,0.000317921,0.000317921
38,98.8205,1.10768,1.21406,1.0583,0.41805,0.59152,0.59532,0.33823,1.38017,1.40118,1.25787,0.000315169,0.000315169,0.000315169
39,101.116,1.11457,1.12601,1.03131,0.54081,0.49151,0.59311,0.33851,1.36615,1.39667,1.26316,0.000312416,0.000312416,0.000312416
40,103.365,1.07218,1.04814,1.03345,0.54081,0.49151,0.59311,0.33851,1.36615,1.39667,1.26316,0.000309664,0.000309664,0.000309664
41,105.643,1.0206,1.05723,0.99619,0.49618,0.64917,0.60828,0.36762,1.33251,1.43347,1.24154,0.000306912,0.000306912,0.000306912
42,108.011,1.08951,1.14466,1.05163,0.49618,0.64917,0.60828,0.36762,1.33251,1.43347,1.24154,0.00030416,0.00030416,0.00030416
